epoch,lr,train_loss,train_acc,val_loss,val_acc,precision,recall,fscore,cohen_kappa_score
0,0.001,1.9228221,0.16552609,2.3708901,0.46670526,[0.87603306 0.42939203 0.         0.        ],[0.41411904 0.97647059 0.         0.        ],[0.54997382 0.59517951 0.         0.        ],0.15704766511686627
1,0.001,2.5285037,0.32868567,1.4887362,0.4209612,[0.86394558 0.40691047 0.         0.        ],[0.17843227 0.99477124 0.         0.        ],[0.29250399 0.57717514 0.         0.        ],0.07339698850451253
2,0.001,1.4130242,0.4337771,1.2616866,0.42443544,[0.88695652 0.34871859 0.40981441 0.        ],[0.3825374  0.4257377  0.78976019 0.        ],[0.51961679 0.38243792 0.53358895 0.        ],0.1847667781148151
3,0.001,1.3527449,0.44597203,1.3021746,0.43022582,[0.88075881 0.41248136 0.36787413 0.        ],[0.42586706 0.37086796 0.88130974 0.        ],[0.56144367 0.3887514  0.51509238 0.        ],0.21593496880697993
4,0.001,1.3192583,0.48421043,1.2863828,0.46438912,[0.89583333 0.42499739 0.50606654 0.        ],[0.29425745 0.87960925 0.26476975 0.        ],[0.42566764 0.57245425 0.34608316 0.        ],0.1717232973608378
5,0.001,1.2665118,0.48704717,1.2881956,0.3462652,[0.87903226 0.31806831 0.27937366 0.        ],[0.42292626 0.14479041 0.89025829 0.        ],[0.55754367 0.19870056 0.42392744 0.        ],0.12937578676007364
6,0.001,1.2681319,0.4794487,1.274685,0.37405905,[0.89690722 0.33390822 0.33613212 0.        ],[0.3056107  0.28744649 0.88578401 0.        ],[0.43959814 0.30879675 0.48490447 0.        ],0.14016326217115482
7,0.001,1.2772567,0.47871265,1.1792537,0.4939201,[0.88611111 0.43708039 0.48303992 0.        ],[0.40732723 0.59268954 0.78906457 0.        ],[0.54386612 0.50231091 0.59367165 0.        ],0.27685058417447544
8,0.001,1.2218355,0.50882715,1.2764475,0.35784596,[0.89181287 0.30294807 0.3061654  0.        ],[0.38251103 0.19562107 0.89025829 0.        ],[0.52041145 0.23765011 0.45382503 0.        ],0.13198113660397956
9,0.001,1.2253376,0.5053938,1.2154464,0.42154023,[0.88611111 0.36119295 0.38248035 0.        ],[0.41365634 0.34828729 0.88196055 0.        ],[0.55042513 0.35293557 0.52864152 0.        ],0.20157244614696337
10,0.001,1.2158309,0.51291543,1.2645582,0.39027214,[0.89285714 0.33208318 0.35035384 0.        ],[0.37115778 0.28703042 0.88802115 0.        ],[0.50876983 0.30694773 0.49875948 0.        ],0.16330757049783373
11,0.001,1.2280756,0.5075798,1.1983768,0.43080488,[0.88617886 0.36377046 0.39707129 0.        ],[0.42498322 0.37203903 0.8706325  0.        ],[0.56078269 0.36627831 0.54019009 0.        ],0.210503923182663
12,0.001,1.185797,0.52563673,1.1933792,0.42559353,[0.88705234 0.35823208 0.39159189 0.        ],[0.42289988 0.36004156 0.8706325  0.        ],[0.55976831 0.35751733 0.53508358 0.        ],0.20454777859877757
13,0.001,1.1723953,0.5330521,1.1612204,0.46207297,[0.88095238 0.39964536 0.41589775 0.        ],[0.52505274 0.41612412 0.85100671 0.        ],[0.64816364 0.40564545 0.55332987 0.        ],0.25579900022809465
14,0.001,1.1760719,0.52724904,1.1793565,0.45454547,[0.88980716 0.38708967 0.43673715 0.        ],[0.4157133  0.4574805  0.83923331 0.        ],[0.55233425 0.41780308 0.56839645 0.        ],0.23344296181502622
15,0.001,1.1916554,0.51812494,1.1386628,0.47654894,[0.88520971 0.40462623 0.44492191 0.        ],[0.51560942 0.48651136 0.78235316 0.        ],[0.63354481 0.43928937 0.56079605 0.        ],0.2622376750976984
16,0.001,1.1711206,0.527669,1.1410669,0.48986682,[0.88333333 0.43000867 0.43898832 0.        ],[0.59296126 0.45975004 0.83758389 0.        ],[0.69748187 0.44100146 0.56929886 0.        ],0.29131981648676547
17,0.001,1.1551113,0.54542136,1.1523985,0.49276203,[0.88607595 0.43955564 0.44649765 0.        ],[0.51592507 0.50993913 0.80221887 0.        ],[0.62895731 0.46856777 0.56714804 0.        ],0.2866582664564335
18,0.001,1.1563817,0.53132963,1.1492027,0.49449912,[0.88617886 0.42471158 0.45491453 0.        ],[0.56383135 0.53468045 0.73153363 0.        ],[0.67131426 0.4705595  0.55398235 0.        ],0.2820381824895854
19,0.001,1.1226856,0.55160743,1.0737323,0.5153445,[0.85324172 0.45047537 0.47452983 0.33888889],[0.62405383 0.56183061 0.7120502  0.04814815],[0.70899355 0.49848486 0.56241754 0.08431373],0.31819557302604884
20,0.001,1.1302907,0.55380666,1.0399745,0.53734803,[0.84104308 0.47264156 0.49225224 0.33333333],[0.65811357 0.71978094 0.49305557 0.04444444],[0.72756117 0.56891605 0.47943497 0.07843137],0.3282081186928837
21,0.001,1.1284568,0.5531494,1.0678653,0.51418644,[0.870091   0.44747587 0.47659148 0.33333333],[0.59713911 0.74164154 0.39850501 0.02539683],[0.69157936 0.55653367 0.42769108 0.04719764],0.2815926335299011
22,0.001,1.0944418,0.56108326,1.0882359,0.49449912,[0.93093093 0.42822741 0.49844768 0.33333333],[0.38349955 0.70091086 0.58294985 0.04761905],[0.52436645 0.53125856 0.53097949 0.08333333],0.25723284683911646
23,0.001,1.0636737,0.57066655,1.0061947,0.521714,[0.85759958 0.45233859 0.4806143  0.24358974],[0.58288662 0.52881829 0.8079134  0.06031746],[0.68293309 0.48701997 0.59650029 0.09669211],0.32452889518154004
24,0.001,1.0735619,0.5732668,0.9939542,0.5749855,[0.8306749  0.50789778 0.55198373 0.63194444],[0.65506729 0.75093842 0.53029372 0.14322751],[0.71983791 0.60588851 0.53292648 0.21527936],0.38941870439281717
25,0.001,1.0830108,0.57493454,0.9926156,0.5570353,[0.81534716 0.48531981 0.5399906  0.27272727],[0.56712537 0.66462172 0.7053674  0.05714286],[0.65008437 0.5602851  0.60495231 0.09448819],0.35823882200674984
26,0.001,1.07012,0.5738129,0.99761426,0.53039956,[0.91666667 0.45400446 0.54705883 0.30666667],[0.44011955 0.71414519 0.6441619  0.07301587],[0.58322723 0.55509681 0.58790776 0.11794872],0.31638014355804417
27,0.001,1.0490648,0.58884954,0.94864196,0.59641,[0.80295334 0.54134487 0.53960595 0.75944612],[0.67688994 0.60194558 0.70839771 0.35402116],[0.72448879 0.56952026 0.60794108 0.45711375],0.44164845094643046
28,0.001,1.0319703,0.58981925,0.94339275,0.6068327,[0.90286976 0.54623162 0.60606213 0.52794754],[0.58150253 0.75253781 0.57027538 0.35555556],[0.6951796  0.63251598 0.58313105 0.42093287],0.43964511934751527
29,0.001,1.0529779,0.5890008,0.93353087,0.6022003,[0.88383838 0.53884451 0.60835883 0.7047176 ],[0.42446778 0.72424607 0.63889446 0.4631746 ],[0.55369514 0.61772221 0.61878163 0.53892986],0.431069043086034
30,0.001,1.0460751,0.5880517,0.92720467,0.6160973,[0.78440159 0.53895697 0.56277056 0.65114046],[0.60102688 0.83726012 0.36351572 0.40312169],[0.66529517 0.65541083 0.43759439 0.49495819],0.4366574460108363
31,0.001,1.0096881,0.594402,0.92575145,0.6085698,[0.83943237 0.53389317 0.59310247 0.71859114],[0.54412959 0.73893551 0.59726339 0.34597884],[0.64405556 0.61957096 0.59061556 0.44534007],0.43610160113235336
32,0.001,0.99866045,0.6162998,0.93736374,0.60509557,[0.89473684 0.54966583 0.56481481 0.67288947],[0.52519499 0.72246519 0.67038466 0.31227513],[0.64203298 0.6243222  0.60644537 0.40301509],0.43726321220319514
33,0.001,1.0104537,0.6002177,0.9000895,0.62478286,[0.89231481 0.60428191 0.59485589 0.52530212],[0.51624073 0.64935559 0.72802936 0.52206349],[0.63531103 0.62481685 0.64764633 0.51883493],0.47843370688263187
34,0.001,1.0134752,0.5963214,0.8840795,0.64852345,[0.8126515  0.60782785 0.60763312 0.66776208],[0.61581    0.68420959 0.66726266 0.57354497],[0.68898083 0.64307169 0.62665264 0.61354529],0.5106425062155387
35,0.001,0.996934,0.6014487,0.9130164,0.6160973,[0.94579946 0.52776009 0.58319685 0.88100686],[0.50329322 0.76451849 0.62626412 0.36021164],[0.6442283  0.62420679 0.59386105 0.45716177],0.4418084018550304
36,0.001,0.9815572,0.6179578,0.94028586,0.5773017,[0.86639595 0.50964692 0.5114294  0.65992674],[0.59330329 0.60867346 0.71405328 0.26412698],[0.6961749  0.55404236 0.58545707 0.36454902],0.397363513618602
37,0.001,0.9517485,0.62855965,0.94449645,0.5807759,[0.82497472 0.53786309 0.47453131 0.70947496],[0.5889744  0.50147847 0.76896482 0.42560847],[0.67299038 0.51646782 0.57865957 0.51747872],0.4208928195112769
38,0.001,1.0006549,0.59745187,0.89389044,0.64215404,[0.94802867 0.57556155 0.5979341  0.6325719 ],[0.54118879 0.74926099 0.626008   0.47582011],[0.67633238 0.64941367 0.59606268 0.5383495 ],0.48646293949013425
39,0.001,0.9689174,0.6153186,0.9182491,0.6236248,[0.87279025 0.53951659 0.66666667 0.63560213],[0.65666155 0.86622791 0.07970273 0.69544974],[0.74638274 0.66478977 0.14123062 0.65662811],0.4438823627888948
40,0.001,0.9741104,0.6136025,0.8925195,0.63173133,[0.9386842  0.58203203 0.58056408 0.56617709],[0.61809311 0.70124616 0.44148768 0.72502646],[0.74351454 0.63275823 0.48772664 0.63006302],0.47741283221197833
41,0.001,0.9722621,0.6191161,0.89858407,0.61725533,[0.9269024  0.52450904 0.56905597 0.69286439],[0.58873785 0.70849492 0.62402698 0.37931217],[0.71614698 0.60242394 0.5852853  0.47925567],0.44817554257406256
42,0.001,0.9987646,0.6061953,0.88176364,0.6253619,[0.83485061 0.5491422  0.69388803 0.59932803],[0.68399741 0.80557087 0.25812729 0.58142857],[0.74465291 0.65293533 0.36218532 0.58887325],0.4528686962169331
43,0.001,0.9521545,0.6180582,0.89838415,0.6195715,[1.         0.54970679 0.58143349 0.67274436],[0.4823544  0.76733115 0.43928501 0.6584127 ],[0.64544966 0.63811729 0.48631868 0.6456834 ],0.4532709022372518
44,0.001,0.94281715,0.6257854,0.8647376,0.65431386,[0.84599713 0.60242951 0.56476517 0.73605489],[0.70472606 0.71084523 0.55850129 0.57603175],[0.76500955 0.64916284 0.54301182 0.633641  ],0.5099194017253615
45,0.001,0.9453208,0.6293463,0.8518789,0.6577881,[0.86822233 0.59844898 0.61724604 0.59407574],[0.70889272 0.6829319  0.64230635 0.52465608],[0.7801195  0.63560425 0.61536183 0.55671673],0.5174435146180482
46,0.001,0.9406547,0.62672794,0.89300776,0.6155182,[0.91179904 0.53359701 0.55910144 0.56405749],[0.62013489 0.84102243 0.18433315 0.57042328],[0.73646301 0.65292434 0.2754174  0.56637524],0.43273890828931955
47,0.001,0.9216002,0.6324962,0.8598701,0.6224667,[0.89497016 0.52554221 0.57661929 0.63455988],[0.64794464 0.88070591 0.30668694 0.35089947],[0.75077009 0.65821683 0.39032511 0.43850575],0.4373552036232617
48,0.001,0.8734722,0.6583179,0.86555165,0.63346845,[0.90790598 0.57201264 0.63640221 0.55315035],[0.68925889 0.69993171 0.50415025 0.55089947],[0.78348008 0.62824758 0.56014065 0.54493436],0.48415000505418493
49,0.001,0.8770267,0.659665,0.89834136,0.6178344,[0.87745681 0.54139019 0.61303464 0.56498471],[0.7044104  0.75844399 0.30027266 0.57391534],[0.78064133 0.63136329 0.39977553 0.56796981],0.45041344093821883
50,0.001,0.9307067,0.63470024,0.88570046,0.64215404,[0.91299618 0.56311752 0.66343217 0.59219858],[0.6606596  0.78092619 0.40448048 0.58777778],[0.76473577 0.65417509 0.49773422 0.58920772],0.48730746129593755
51,0.001,0.882872,0.65168184,0.83714414,0.6629994,[0.84729564 0.63669251 0.57273748 0.65137775],[0.70583126 0.65867289 0.6225382  0.64703704],[0.76833095 0.64126389 0.58085229 0.6447032 ],0.535057428506272
52,0.001,0.8548184,0.6630761,0.87776005,0.64273304,[0.84060847 0.60483174 0.62810055 0.52996521],[0.71311213 0.66837359 0.57491994 0.56089947],[0.7711622  0.63049218 0.57906351 0.54318568],0.5025976993281002
53,0.001,0.8754017,0.66294897,0.8682005,0.6409959,[0.85728644 0.58544243 0.63139168 0.57710377],[0.70894547 0.71180032 0.52611383 0.53878307],[0.77588535 0.63876619 0.54742869 0.55600069],0.49339643450236065
54,0.001,0.8701511,0.6624645,0.9569346,0.59525186,[0.89971729 0.52349198 0.58548535 0.53891845],[0.62985632 0.71528359 0.35780361 0.56592593],[0.74028451 0.60442589 0.44232551 0.55162916],0.4228868621539095
55,0.001,0.85236615,0.6671985,0.84676,0.6577881,[0.83612277 0.58929821 0.61854646 0.65439327],[0.71854223 0.71377313 0.59242235 0.49185185],[0.77152071 0.64436802 0.5823869  0.53996294],0.5151011865452255
56,0.001,0.83411866,0.67636424,0.85573167,0.6554719,[0.85249642 0.58208362 0.66623883 0.61882432],[0.74425745 0.71870833 0.5902931  0.46619048],[0.79462589 0.64035344 0.59870042 0.52132368],0.5097594224260619
57,0.001,0.8265038,0.68773144,0.9795368,0.6004632,[0.90853558 0.54784647 0.60377042 0.49355908],[0.62425441 0.70115088 0.33853149 0.67449735],[0.73571891 0.61155907 0.42313777 0.5667663 ],0.43633463607136963
58,0.001,0.86482155,0.6632585,0.8919484,0.6514186,[0.84556334 0.60585431 0.60191451 0.59284196],[0.75897264 0.64286184 0.64454349 0.53941799],[0.79992982 0.62058666 0.61092243 0.56435626],0.5195568533676065
59,0.001,0.83688116,0.67284715,0.8983672,0.62478286,[0.85054126 0.55902962 0.61736198 0.56859176],[0.72826365 0.65898642 0.52532066 0.55719577],[0.78423778 0.6018194  0.53533424 0.56162581],0.47664422700542386
60,0.001,0.8068156,0.6860262,0.9322506,0.5981471,[0.81474387 0.53143272 0.64724365 0.52603669],[0.64693454 0.67357195 0.45513214 0.57703704],[0.71623217 0.5928448  0.50832743 0.54931577],0.4327645177058795
61,0.001,0.7904577,0.6960434,0.93265647,0.63520557,[0.84226001 0.56975307 0.6382572  0.53917106],[0.72745892 0.66143519 0.53506237 0.56666667],[0.78013509 0.60974862 0.55341708 0.55156176],0.4839219375849566
62,0.001,0.81764036,0.67737067,0.98943764,0.6108859,[0.81036393 0.57182269 0.62921993 0.45867726],[0.74118479 0.59413829 0.50754077 0.58777778],[0.77396121 0.58200321 0.56161705 0.51334976],0.4658931406899383
63,0.001,0.79901856,0.689384,0.9487776,0.6305733,[0.86564403 0.56567752 0.61477534 0.5138956 ],[0.73709724 0.65641605 0.5673809  0.5047619 ],[0.79585035 0.60629377 0.56825748 0.5030314 ],0.48397766774234796
64,0.001,0.7499966,0.7080461,0.95015144,0.6386798,[0.81757327 0.58355049 0.65299376 0.55457499],[0.73394627 0.60683813 0.62310248 0.61047619],[0.77340936 0.59336732 0.62524618 0.57802661],0.501741436485749
65,0.001,0.7678127,0.7020194,1.014027,0.6085698,[0.80556651 0.55141785 0.6245614  0.51946296],[0.7381393  0.61096524 0.46811615 0.61582011],[0.77028567 0.5772984  0.51787962 0.56054271],0.45785144324633514
66,0.001,0.76611644,0.70585835,0.9932715,0.6357846,[0.80088612 0.5789631  0.60727974 0.54285351],[0.76530175 0.65075534 0.51374305 0.56375661],[0.78254809 0.61205353 0.54617656 0.55021948],0.49157505227396686
67,0.001,0.7894978,0.6917184,1.0471561,0.6016213,[0.74615021 0.55320037 0.61664041 0.51309492],[0.78504108 0.59122218 0.40128885 0.62592593],[0.76390622 0.56580784 0.46807866 0.56159548],0.4463749355613153
68,0.001,0.76467717,0.7031694,0.96238494,0.6218877,[0.80735865 0.56365551 0.60964855 0.50430384],[0.75996196 0.61958606 0.55138623 0.51671958],[0.78286109 0.59027721 0.57251988 0.50419591],0.4763576068380191
69,0.001,0.741036,0.7165751,0.9682781,0.6213086,[0.79494481 0.56373142 0.61672564 0.51987432],[0.7422796  0.65390966 0.47558247 0.54597884],[0.76763888 0.60536558 0.53268702 0.52934856],0.4705776746827093
70,0.001,0.73867685,0.7180504,1.0199586,0.61725533,[0.7748685  0.58854648 0.63140246 0.46113925],[0.76530175 0.57383851 0.56094525 0.57915344],[0.76999166 0.58022319 0.59194003 0.51166501],0.4788653445239439
71,0.001,0.765377,0.7054738,1.043604,0.60972786,[0.8182776  0.54389365 0.59194994 0.50512451],[0.75485871 0.64214904 0.45161822 0.52793651],[0.78519306 0.58847469 0.49887721 0.51228837],0.453271997742344
72,0.001,0.7536515,0.7121197,0.99978215,0.61667633,[0.81440769 0.53569397 0.62672769 0.5220866 ],[0.76818981 0.67753027 0.41600742 0.49396825],[0.79056943 0.59772459 0.48777233 0.50526046],0.45219971610618126
73,0.001,0.7083078,0.7258702,1.0177379,0.6305733,[0.8090905  0.57160402 0.65811942 0.50787448],[0.77879108 0.61892045 0.50643806 0.60455026],[0.79357746 0.59244528 0.56031746 0.55158405],0.4888559712042291
74,0.001,0.704683,0.72881466,1.0393525,0.59641,[0.78417239 0.52715007 0.59749739 0.51301262],[0.71522264 0.62385882 0.46400141 0.54878307],[0.74774883 0.57018993 0.50524969 0.5266741 ],0.4341437917109439
75,0.001,0.7305803,0.72438514,1.0508527,0.6178344,[0.79743774 0.57303569 0.63140641 0.51149599],[0.75056019 0.5901895  0.5558643  0.5962963 ],[0.772935   0.57833324 0.57579006 0.5481736 ],0.4756160163887162
76,0.001,0.70955133,0.7191369,1.0342612,0.5998842,[0.74604028 0.53115611 0.60076809 0.48769287],[0.77027314 0.61307099 0.43789826 0.51994709],[0.75714694 0.56825641 0.48757596 0.5001707 ],0.4345538121466363
77,0.001,0.68176305,0.74147016,1.0263302,0.6224667,[0.83434412 0.56313224 0.61853575 0.49830775],[0.76193981 0.58215126 0.62239446 0.53063492],[0.79614144 0.57133692 0.6112089  0.51272254],0.47839867457034185
78,0.001,0.69550663,0.7351187,1.0402492,0.6155182,[0.78904335 0.54177252 0.58691643 0.51333733],[0.78376247 0.62078527 0.48786741 0.49343915],[0.78620943 0.57671608 0.51465327 0.50046235],0.4503139389279493
79,0.001,0.7029478,0.7296047,1.0919131,0.6085698,[0.78758159 0.54417765 0.66308633 0.48535464],[0.75269627 0.646405   0.42994833 0.55285714],[0.76963093 0.58882743 0.49803313 0.51610708],0.4504574791565572
80,0.001,0.7022214,0.725839,1.0593741,0.6259409,[0.76250767 0.58370924 0.62218064 0.49163298],[0.79970352 0.59550946 0.52657229 0.55920635],[0.78047422 0.5876865  0.55722642 0.51904062],0.4828815125295969
81,0.001,0.69455034,0.72695744,1.0942066,0.6074117,[0.82415918 0.54177414 0.5705848  0.58494079],[0.70988285 0.65168412 0.45584603 0.57867725],[0.76141159 0.58965522 0.48442768 0.57515436],0.4477947033297336
82,0.001,0.6927032,0.7358125,1.0899549,0.6149392,[0.76507273 0.56139587 0.60756019 0.53202765],[0.76613285 0.60633495 0.45561852 0.62232804],[0.76497242 0.58079571 0.50253046 0.57261546],0.46491899017293986
83,0.001,0.72171104,0.7224075,1.1513048,0.5807759,[0.75658817 0.51964049 0.53756614 0.44642094],[0.75681019 0.57054264 0.48452446 0.45465608],[0.75584784 0.54310451 0.50288064 0.44721699],0.41018829420043534
84,0.001,0.6870842,0.73451585,1.1089147,0.62015057,[0.80273102 0.56386575 0.59139221 0.53743908],[0.73920694 0.61626296 0.54230497 0.5657672 ],[0.76910035 0.58796782 0.54850996 0.54742058],0.4728210666641366
85,0.001,0.679893,0.7428104,1.1426268,0.5900405,[0.8100247  0.52962532 0.5749616  0.50901541],[0.76402314 0.62743555 0.3356663  0.59645503],[0.78492698 0.57201517 0.41239628 0.5468275 ],0.4251867157310318
