epoch,lr,train_loss,train_acc,val_loss,val_acc,precision,recall,fscore,cohen_kappa_score
0,0.001,1.960625,0.14071856,2.1664405,0.3954835,[1.         0.39321392 0.         0.        ],[0.07189138 1.         0.         0.        ],[0.1320966 0.5643093 0.        0.       ],0.025616037943971864
1,0.001,2.580585,0.3186719,1.5560594,0.2356688,[0.22925481 0.34175532 0.         0.        ],[1.         0.03249734 0.         0.        ],[0.36718058 0.05742561 0.         0.        ],0.009999731181870142
2,0.001,1.5926963,0.3949234,1.6595111,0.2223509,[0.21820813 0.         0.         0.        ],[1. 0. 0. 0.],[0.35337347 0.         0.         0.        ],0.0
3,0.001,1.5357412,0.3925759,1.6305246,0.2223509,[0.21820813 0.         0.         0.        ],[1. 0. 0. 0.],[0.35337347 0.         0.         0.        ],0.0
4,0.001,1.5321032,0.41116875,1.6584167,0.38100752,[0.30161163 0.54475708 0.         0.        ],[0.96388329 0.41974305 0.         0.        ],[0.45109802 0.47392997 0.         0.        ],0.14923725154510928
5,0.001,1.4547179,0.4288566,1.6680317,0.27272728,[0.24016249 0.58844964 0.         0.        ],[1.         0.12809868 0.         0.        ],[0.38177768 0.20831476 0.         0.        ],0.04566754909872325
6,0.001,1.4256859,0.4337578,1.4957259,0.35958308,[0.28801406 0.57433139 0.         0.        ],[0.9978903  0.35755468 0.         0.        ],[0.44064722 0.43377593 0.         0.        ],0.1295222525195452
7,0.001,1.4115976,0.45625514,1.3800777,0.47075853,[0.3971519  0.54359748 0.         0.        ],[0.92309967 0.68871148 0.         0.        ],[0.54311529 0.60296809 0.         0.        ],0.23930750077251076
8,0.001,1.4206216,0.45251402,1.3824636,0.47596988,[0.39730151 0.55894468 0.         0.        ],[0.931433  0.6979217 0.        0.       ],[0.54666667 0.61371659 0.         0.        ],0.24564148034816446
9,0.001,1.3880961,0.4667077,1.3585246,0.5002895,[0.43391961 0.56007691 0.         0.33333333],[0.9230733  0.75140576 0.         0.04761905],[0.58414925 0.63276336 0.         0.08333333],0.2741117280003703
10,0.001,1.3941586,0.45372123,1.3027735,0.53097856,[0.58683578 0.4990286  0.46666667 0.33333333],[0.83414685 0.84447348 0.05108806 0.06349206],[0.68278061 0.62320686 0.09071508 0.10666667],0.2986625911121375
11,0.001,1.3918303,0.4693718,1.3345655,0.53039956,[0.46028799 0.57100812 0.64927536 0.33333333],[0.89542178 0.77472464 0.08769747 0.07936508],[0.60352343 0.65106826 0.15348612 0.12820513],0.31777579383390947
12,0.001,1.3552314,0.47724435,1.3856562,0.536769,[0.42500483 0.61808636 0.67847558 0.33333333],[0.93148574 0.68275358 0.23989859 0.08888889],[0.57769445 0.64135105 0.33861134 0.14035088],0.3436340314972477
13,0.001,1.3434654,0.48878255,1.4231323,0.51129127,[0.40808191 0.59230807 0.71575092 0.33333333],[0.9276611  0.66346335 0.14414398 0.10793651],[0.56228645 0.61644747 0.23614311 0.16306954],0.3076279211474082
